word,total_hits,title,year,genre,episode_title,season,episode,imdb_id,quote
espouse,40,Under the Banner of Heaven,2022,"Crime, Drama, Mystery",Church and State,1,4,tt17068070,"""If a man espouse a virgin and desire to espouse another, | to espouse another, he is justified."" | ""If any man espouse a virgin and desire"
espouse,40,Fed Up,2014,Documentary,,,,tt2381335,to espouse this same mantra...
espouse,40,The Good Wife,2016,"Crime, Drama, Mystery",Targets,7,15,tt5431472,overtly espouse violence just shows
espouse,40,Richard III,1956,"Biography, Drama, History",,,,tt0049674,he shall espouse Elizabeth her daughter.
espouse,40,Bitter Moon,1994,"Drama, Romance, Thriller",,,,tt0104779,consentez-vous a prendre pour espouse...
espouse,40,Frequency,2016,"Sci-Fi & Fantasy, Drama, Mystery",Deviation,1,6,tt6181998,Quantum physicists who espouse this belief?
impetuous,400,The Heiress,1949,"Drama, Romance",,,,tt0041452,"Impetuous? | You are not as impetuous as you used to be, Morris."
impetuous,400,Hannibal Brooks,1969,"Action, Adventure, Comedy",,,,tt0064403,Impetuous.
impetuous,400,Living 'til the End,2005,"Drama, Romance",,,,tt0419922,impetuous.
impetuous,400,Naruto,2005,"Animation, Action, Adventure, Comedy, Fantasy",Konoha doumeikoku Suna no shinobi,1,125,tt1302477,Impetuous...
impetuous,400,Weeds,2009,"Comedy, Crime, Drama",Where the Sidewalk Ends,5,7,tt1444242,impetuous.
impetuous,400,FAST,2022,"Comedy, Romance",,,,tt22023962,Impetuous.
impetuous,400,Lost Girl,2013,"Action, Drama, Fantasy",Delinquents,3,10,tt2301252,Impetuous.
impetuous,400,Sweet Magnolias,2023,Drama,And a Star to Steer Her By,3,6,tt23330032,...impetuous | To prove we can still be the impetuous young lovers we once were.
impetuous,400,Westworld,2016,"Drama, Mystery, Sci-Fi",The Bicameral Mind,1,10,tt5229638,Impetuous.
impetuous,400,Insatiable,2018,"Comedy, Drama, Thriller",Miss Bareback Buckaroo,1,3,tt7269754,Impetuous.
impetuous,400,The Three Musketeers,1948,"Action, Adventure, Drama",,,,tt0040876,Impetuous imbeciles! | They're impetuous men your Majesty | They're impetuous men your Majesty.
mechanism,2358,California Dreaming,2007,"Comedy, Family",,,,tt0483763,Mechanism.
mechanism,2358,The Highest of Stakes,2023,Documentary,,,,tt28077332,"mechanism, | Finance in general is a mechanism by which the impatient"
mechanism,2358,DC's Legends of Tomorrow,2017,"Action, Adventure, Drama",Aruba-Con,3,1,tt6403446,Mechanism?
mechanism,2358,Ölümlü Dünya,2018,"Action, Comedy, Crime",,,,tt7748244,-This is a mechanism. -Mechanism.
mechanism,2358,Elephant,1989,"Crime, Drama",,,,tt0097270,(MECHANISM WHIRS)
mechanism,2358,The Dark Side of the Heart,1994,"Comedy, Romance, Drama",,,,tt0104662,A mechanism.
mechanism,2358,Heart of the Warrior,2000,"Comedy, Adventure, Fantasy",,,,tt0205843,mechanism permanently?
mechanism,2358,CSI: Miami,2004,"Action, Crime, Drama",Lost Son,3,1,tt0534817,Faulty mechanism.
mechanism,2358,Grounded for Life,2004,"Family, Comedy",Space Camp Oddity,4,28,tt0593171,defense mechanism.
mechanism,2358,Law & Order,1991,"Crime, Drama, Mystery",In Memory Of,2,7,tt0629311,psychological mechanism.
mechanism,2358,MacGyver,1986,"Action, Adventure, Crime",Countdown,1,14,tt0638692,( Mechanism humming )
maturity,998,On the Road,2012,"Adventure, Drama, Romance",,,,tt0337692,maturity.
maturity,998,Cheers,1988,"Comedy, Drama",Bar Wars,6,23,tt0539696,Maturity. | Maturity.
maturity,998,Degrassi: The Next Generation,2004,"Drama, Romance",Mercy Street,4,4,tt0557367,            Maturity.           
maturity,998,Moral Orel,2006,"Animation, Comedy, Drama",Maturity,1,8,tt0815528,MATURITY.                        | OBSERVE MATURITY.                | MATURITY JUICE.                 
maturity,998,Smallville,2009,"Adventure, Drama, Romance",Power,8,13,tt1267040,maturity.
maturity,998,Friday Night Lights,2011,"Drama, Sport",Always,5,13,tt1631966,Maturity.
maturity,998,Survivor,2012,Reality,Little Miss Perfect,25,9,tt2504720,>> MATURITY.
maturity,998,Marguerite's Theorem,2023,"Drama, Mystery",,,,tt26699529,Maturity.
maturity,998,Khichdi 2: Mission Paanthukistan,2023,"Comedy, Family",,,,tt26744890,"Maturity. | What does 'maturity' mean? | -'Maturity', Hansa! -Here they go again. | Please show some maturity, for god’s sake."
maturity,998,All American,2023,Drama,Sabotage,5,19,tt27577350,Maturity.
maturity,998,From Above,2023,Drama,,,,tt27679674,Maturity.
collective,1983,Burn Notice,2013,"Action, Crime, Drama",All or Nothing,7,6,tt3001732,"- The Collective. - The Collective? | They call themselves-- The Collective. | People who tangle with The Collective,"
collective,1983,American Dad!,2017,"Animation, Comedy",The Witches of Langley,12,9,tt6374518,"Easy, Collective. Collective Soul. | Asylum, Coughing, or Collective? | I love remembering Collective Soul."
collective,1983,American Dad!,2018,"Animation, Comedy",The Never-Ending Stories,15,9,tt8039086,"Easy, Collective. Collective Soul. | Asylum, Coughing, or Collective? | I love remembering Collective Soul."
collective,1983,Colectiv,2020,"Documentary, Crime",,,,tt10706602,COLLECTIVE
collective,1983,Star Trek: Prodigy,2022,"Animation, Sci-Fi & Fantasy, Kids",Let Sleeping Borg Lie,1,12,tt17080350,"Collective? | my collective. | into the Collective. | - into the Collective. | Fight the Collective, Zero. | <i>into their collective.</i> | to a collective hive mind. | the Collective to analyze the weapon. | I'm already a part of a collective"
collective,1983,We Are Legion: The Story of the Hacktivists,2012,Documentary,,,,tt2177843,collective. | collective. | It's a collective.
collective,1983,Ivan Vasilyevich Changes Everything,2023,"Comedy, Science Fiction, Adventure, TV Movie",,,,tt29278798,collective.
collective,1983,Santa Hunters,2024,Comedy,,,,tt31524311,collective. | What? What kind of collective?
collective,1983,The Senator,2024,"Thriller, Drama",,,,tt33298777,Collective.
collective,1983,Room 999,2023,Documentary,,,,tt27729122,"We need collective places, collective experiences, | collective rituals, | we need a collective. | Something on the order of a collective rite."
collective,1983,Death Takes a Holiday,1934,"Drama, Fantasy, Romance",,,,tt0025037,[Collective Gasp]
playful,1442,Shikhar,2005,Drama,,,,tt0475627,"It's playful.. playful. | It's playful.. playful. | It's playful.. playful. | It's playful.. playful. | Oh playful heart, oh playful heart. | Oh playful heart, oh playful heart. | Oh playful heart, oh playful heart. | Oh playful heart, oh playful heart. | Oh playful heart, oh playful heart. | Oh playful heart, oh playful heart. | Oh playful heart, oh playful heart. | Oh playful heart, oh playful heart. | Oh playful heart, oh playful heart. | Forgive me, oh playful heart. | Forgive me, oh playful heart. | Forgive me, oh playful heart. | Forgive me, oh playful heart. | Forgive me, oh playful heart. | Forgive me, oh playful heart. | I salute you, oh playful heart. | I salute you, oh playful heart. | I salute you, oh playful heart."
playful,1442,Newton,2017,"Comedy, Drama",,,,tt6484982,- Malko means playful - Playful?
playful,1442,The Turn of the Screw,1999,"Drama, Thriller, Horror, TV Movie",,,,tt0209440,Playful? | No. They're just playful. | Will you still call them playful?
playful,1442,'Allo 'Allo!,1991,"Comedy, History, War",The Spirit of Nouvion,7,6,tt0500320,             PLAYFUL.           
playful,1442,Becker,1998,Comedy,My Dinner with Becker,1,5,tt0520608,       Playful.                 
playful,1442,Jeff Dunham: Me the People,2022,"Comedy, TV Movie, Documentary",,,,tt23318056,Playful.
playful,1442,The Mentalist,2015,"Crime, Drama, Mystery",Brown Shag Carpet,7,12,tt4260578,Playful? | Or more playful.
playful,1442,The Blacklist: Redemption,2017,"Action, Crime, Drama",Leland Bray,1,1,tt5721510,Playful.
playful,1442,Les Tuche 3,2018,Comedy,,,,tt7066382,- Playful! | - Playful! She laughs.
playful,1442,Karen Kingsbury's Maggie's Christmas Miracle,2017,"Drama, Family, Romance",,,,tt7714136,Playful? | I prefer to call it a playful streak.
playful,1442,The Heart of Hiroshima,1966,Drama,,,,tt0202784,Because I'm playful. - Playful Bambi?
spawn,829,Spawn,1997,"Action, Drama, Horror",,,,tt0120177,"Spawn. | Where's Spawn? | Spawn must choose... | You're Spawn now, | All right, Spawn. | Spawn has stopped... | Twinkle, twinkle, little Spawn. | Spawn, general of Hell's army. | Who's your new friend, Spawn? | It's all your fault, Spawn. | and Spawn came and helped me. | I'll get Spawn so worked up, | Spawn was ready sooner than I expected, | I was counting on Spawn killing you. | From spawn larva to full-fledged Hellspawn in record time. | to make sure Spawn keeps his end of the bargain. | I want your special attention dealing with Spawn, you hear me? | Now I get Spawn to murder Wynn and release the virus. | I got Wynn to kill Spawn and create the HEAT-16 bomb."
spawn,829,The Reef,2007,"Animation, Family",,,,tt0820142,Spawn!
spawn,829,Spawn,1997,"Animation, Action, Adventure",Burning Visions,1,1,tt0886219,"SPAWN? | ANYWAY, SPAWN, | YOU GOT NOWHERE TO GO, SPAWN. | YOU CAME BACK FOR HER, SPAWN. | THAT'S IT, SPAWN. LET YOURSELF GO. | I'M TODD McFARLANE, AND I CREATED ""SPAWN."" | <i>WHAT DO YOU THINK, SPAWN?</i> | AND NOW, ""SPAWN,"" SO TURN OFF YOUR LIGHTS."
spawn,829,Robot Chicken,2007,"Animation, Short, Adventure",Ban on the Fun,3,11,tt1133193,"All: # Big in the '90s, Spawn, Spawn, Spawn # | Foul Beasts, I, Spawn, the superhero from hell,"
spawn,829,Nosferatu a Venezia,1988,Horror,,,,tt0091651,Foul spawn.
spawn,829,Ghoulies IV,1994,"Comedy, Fantasy, Horror",,,,tt0109895,Hell spawn.
spawn,829,In the Heat of the Sun,,"Drama, Romance",,,,tt0111786,Turtle spawn!
spawn,829,Happy Endings,2005,"Comedy, Drama, Music",,,,tt0361693,Your spawn.
spawn,829,Oyster Farmer,2005,"Romance, Drama",,,,tt0379918,They spawn.
spawn,829,Deep Sea 3D,2006,Documentary,,,,tt0424942,...to spawn? | ...the entire coral reef will spawn. | ...coral polyps begin jetting spawn into the night sea.
spawn,829,"Beverly Hills, 90210",1995,"Drama, Romance",Squash It,5,27,tt0522925,"Spawn, lay. | Spawn, lay."
nihilism,65,Good Vibrations,2013,"Biography, Drama, Music",,,,tt1920945,Nihilism.
nihilism,65,Fantasy Island,2023,"Drama, Sci-Fi & Fantasy",Paymer vs. Paymer,2,3,tt24868630,To... nihilism.
nihilism,65,The Lazarus Project,2023,"Sci-Fi & Fantasy, Drama, Action & Adventure",Episode 3,2,3,tt27547635,"""Definitely nihilism."" | Well, now it's definitely nihilism."
nihilism,65,Code Geass: Rozé of the Recapture,2024,"Action & Adventure, Animation, Sci-Fi & Fantasy",Purple Surf,1,10,tt31869687,"So, nihilism?"
nihilism,65,The Good Place,2018,"Comedy, Drama, Fantasy",The Ballad of Donkey Doug,3,5,tt8534442,is nihilism.
nihilism,65,I ♥ Huckabees,2004,"Comedy, Romance",,,,tt0356721,"That's nihilism, Tommy!"
nihilism,65,It Might Get Loud,2008,"Documentary, Music",,,,tt1229360,Punk-rock nihilism.
nihilism,65,Dr. Death,2021,"Crime, Drama, Thriller",Hardwood Floors,1,8,tt13186468,"and therapeutic nihilism."""
nihilism,65,Too Old to Die Young,2019,"Crime, Drama",Volume 10: The World,1,10,tt7960534,Pure unadulterated nihilism...
nihilism,65,Nazi Weird War Two,2016,Documentary,Secret Art Fortress,1,3,tt16995834,"Existential Nihilism: Hello, gentlemen. | Angel and Devil Bird: Hello, Existential Nihilism. | Existential Nihilism: I couldn't help but overhear your convo"
nihilism,65,Bad Influence,2022,"TV Movie, Thriller, Crime, Drama",,,,tt19866304,Baudrillard's nihilism thrown in.
flaunt,493,The Producers,1968,"Comedy, Music",,,,tt0063462,"Flaunt it, baby! Flaunt it! | That's it, baby! When you got it, flaunt it! Flaunt it!"
flaunt,493,The Producers,2005,Comedy,,,,tt0395251,"Flaunt it | Flaunt it | That's it, baby! When you got it, flaunt it! Flaunt it!"
flaunt,493,Starsky and Hutch,1976,"Action, Crime, Drama, Mystery",Tap Dancing Her Way Right Back into Your Hearts,2,9,tt0709549,"flaunt it. | flaunt it. | When you got it, flaunt it, ""boy."""
flaunt,493,Mad About You,1992,"Comedy, Romance",The Apartment,1,8,tt0638937,"You could. Ifyou wanna flaunt, you could flaunt. You could flaunt. | - You didn't have a life before me? - I did, but I don't flaunt it."
flaunt,493,Three Days in Greece,1991,N/A,,,,tt0208522,"flaunt your green yew, flaunt its sweet fruit!"
flaunt,493,Black Spring Break: The Movie,1998,Comedy,,,,tt0142120,Flaunt your skills.
flaunt,493,RuPaul's Drag Race,2009,"Game-Show, Reality-TV",M.A.C/Viva Glam Challenge,1,4,tt1360991,AND TO FLAUNT
flaunt,493,Blue Bloods,2022,"Crime, Drama",Long Lost,12,18,tt18815436,Flaunt her flow? | I said to flaunt her flow.
flaunt,493,Shenmue the Animation,2022,"Animation, Drama, Action & Adventure",Future,1,7,tt18932968,"or flaunt technique. | Keep your heart free of conceit, never use force blindly or flaunt technique."
flaunt,493,R... Rajkumar,2013,"Action, Comedy, Romance",,,,tt2369154,Flaunt a style.
flaunt,493,All Your Faces,2023,Drama,,,,tt24070754,Don't flaunt it.
imagery,705,Free and Easy 9,1997,"Comedy, Drama",,,,tt0374297,Imagery? | My imagery exactly. | Whatever. It's just imagery. | I'm exhausted just from the imagery. | I'll tell you exactly what my imagery is. | Whether you catch anything or not is a matter of imagery.
imagery,705,The West Wing,2000,Drama,Mandatory Minimums,1,20,tt0745655,IMAGERY.
imagery,705,Spy Game,2001,"Action, Crime, Thriller",,,,tt0266987,Imagery Analysis. | I'm gonna need the imagery analysis for a military prison near Su Chou.
imagery,705,Fighting Words,2006,"Drama, Romance",,,,tt0354578,Great imagery.
imagery,705,Andromeda,2002,"Action, Adventure, Drama","The Knight, Death and the Devil",2,20,tt0512280,"Lovely imagery,"
imagery,705,Cheers,1991,Comedy,Wedding Bell Blues (2),9,15,tt0539923,"Haunting imagery,"
imagery,705,Threshold,2005,"Action, Drama, Sci-Fi, Thriller",The Order,1,7,tt0723058,Same imagery.
imagery,705,Cover Your Ears,2023,Documentary,,,,tt18296562,this imagery | The religious imagery | imagery music words
imagery,705,Frozen Planet II,2022,"Documentary, Family",Frozen Worlds,1,1,tt18468964,Such imagery
imagery,705,Bloodlands,2022,"Crime, Drama",Episode 6,2,6,tt20198878,satellite imagery.
imagery,705,The Chosen,2022,"Drama, Family",Homecoming,3,1,tt23028030,- Bizarre imagery.
infancy,280,Nip/Tuck,2006,Drama,"Conor McNamara, 2026",4,11,tt0898704,INFANCY.
infancy,280,Zeitgeist: Moving Forward,2011,Documentary,,,,tt1781069,[Infancy]
infancy,280,My American Uncle,1980,"Comedy, Drama, Romance",,,,tt0081176,"From Infancy... | by this society, starting in infancy."
infancy,280,Human,2015,Documentary,,,,tt3327994,from infancy
infancy,280,The Importance of Being Earnest,1952,"Comedy, Drama",,,,tt0044744,in your infancy...
infancy,280,Freud,1962,"Biography, Drama",,,,tt0055998,Even in infancy.
infancy,280,Sicily!,1999,Drama,,,,tt0200135,"Infancy, youth, age..."
infancy,280,The Importance of Being Earnest,2002,"Comedy, Drama, Romance",,,,tt0278500,in your infancy...
infancy,280,Where Does Your Hidden Smile Lie?,2003,Documentary,,,,tt0342866,"Infancy, youth, age..."
infancy,280,Wonder Woman,1978,"Action, Adventure, Drama, Family, Fantasy, Sci-Fi",Disco Devil,3,5,tt0750233,"Adolescence, infancy, childhood."
infancy,280,The Game of Crowns: The Tudors,2023,Documentary,,,,tt23033320,into its infancy.
pluck,1336,Cold Case,2005,"Crime, Drama, Mystery",Kensington,2,20,tt0543934,"Pluck, pluck, pluck..."
pluck,1336,Kung Fu Panda: The Dragon Knight,2023,"Animation, Action & Adventure, Comedy",The Battle of Tianshang (2),3,11,tt29004869,"Pluck, pluck."
pluck,1336,The Flight of Dragons,1984,"Animation, Adventure, Family, Fantasy, Romance",,,,tt0083951,"Pluck-a, pluck-a, pluck-a, pluck-a, pluck-a,... | I can reach up and pluck down the Sun."
pluck,1336,Olsen-banden går amok,1973,"Comedy, Crime, Family",,,,tt0070474,"pluck pluck flowers | pluck pluck rushes by y | - If I pluck exhaust of. - Well, my boy. Do you have a nail?"
pluck,1336,The Nanny,1995,Comedy,An Offer She Can't Refuse,3,13,tt0657237,"Pluck. Pluck, blend. | which means I've gotta pluck and... | - Gel, mousse, pluck, blend. - Okay. Here we go. | I've got a date, which means I've gotta gel, mousse, pluck, blend."
pluck,1336,Queer Duck: The Movie,2006,"Animation, Comedy, TV Movie",,,,tt0485288,"Yeah! Pluck me! Pluck me! Pluck me! | Pluck me! Pluck me! | Smack those feathers! Yeah, pluck me!"
pluck,1336,The Imaginarium of Doctor Parnassus,2010,"Adventure, Comedy, Fantasy",,,,tt1054606,- Pluck it. - Pluck it? | Know how to pluck?
pluck,1336,World's First Christmas,2023,"Comedy, Drama",,,,tt28146236,Pluck! | - With your... - Pluck!
pluck,1336,Backstrom,2015,"Comedy, Crime, Drama",Takes One to Know One,1,3,tt3859064,"Pluck. | I said ""pluck."" | Why else be a cult leadeexcept to pluck the low-hanging fruit?"
pluck,1336,Love Is Blind,2022,Reality,After the Altar: It’s My Party and I’ll Gossip if I Want to,2,13,tt21861034,- Pluck it. Pluck it. - Where?
pluck,1336,X,1963,"Horror, Sci-Fi, Thriller",,,,tt0057693,"Pluck it out! Pluck it out! Pluck it out! | Pluck it out! Pluck it out! Pluck it out! | Pluck it out! Pluck it out! Pluck it out! | ""pluck it out."" | Pluck it out?"
aesthetic,648,Schtonk,1992,Comedy,,,,tt0105328,..aesthetic.
aesthetic,648,Letterkenny,2022,Comedy,Chips,11,1,tt24637920,aesthetic.
aesthetic,648,Éden & Charlie,2024,N/A,,,,tt33823467,aesthetic.
aesthetic,648,Annie Hall,1977,"Comedy, Romance",,,,tt0075686,"Aesthetic criteria? | ...and a set of aesthetic criteria have not emerged yet. | Still, you need a set of aesthetic guidelines to put it in social perspective."
aesthetic,648,Intervention,1968,"Adventure, Comedy, Documentary",,,,tt0142405,Aesthetic work.
aesthetic,648,Star Trek: Voyager,1995,"Action, Adventure, Sci-Fi",Phage,1,5,tt0708946,aesthetic needs.
aesthetic,648,The Neighborhood,2020,Comedy,Welcome to the Commercial,2,17,tt11780086,"An aesthetic? | You're lucky there's not an aesthetic here, | by giving our ad a distinct visual aesthetic. | Where the hell is an aesthetic when you need one?"
aesthetic,648,New Tricks,2009,"Comedy, Crime, Drama",The War Against Drugs,6,1,tt1469103,Very aesthetic.
aesthetic,648,"As long as you live, keep shining",N/A,N/A,,,,tt18254022,"The aesthetic! | matches every aesthetic. | She says it ""ruins the aesthetic."" | No. It would ruin the aesthetic. | Maybe only your drawings didn't match the aesthetic. | Of course not, man. It ruins the aesthetic."
aesthetic,648,The Kardashians,2022,Reality,Where I’ve Been and Where I Wanna Go,1,7,tt19655940,future aesthetic.
aesthetic,648,RuPaul's Drag Race,2013,Reality-TV,Snatch Game,5,5,tt2721578,different aesthetic. | different aesthetic.
authenticity,797,Numb3rs,2006,"Crime, Drama, Mystery",Dark Matter,2,19,tt0786191,- For authenticity. - For authenticity? | - Authenticity. - It wasn't me!
authenticity,797,The House of Seven Corpses,1974,Horror,,,,tt0071627,Authenticity. | It'll give the picture a feeling of authenticity.
authenticity,797,"Mobutu, King of Zaire",1999,Documentary,,,,tt0206944,Authenticity... | Zaire... is authenticity.
authenticity,797,Slow Burn,2005,"Mystery, Crime, Drama, Thriller",,,,tt0376196,Authenticity.
authenticity,797,Solar Attack,2006,"Action, Sci-Fi, Thriller",,,,tt0457701,- Authenticity? | if and when we are convinced of the authenticity of this threat.
authenticity,797,Riverdale,2019,"Crime, Drama, Mystery",Chapter Sixty: Dog Day Afternoon,4,3,tt10884066,Authenticity.
authenticity,797,Supernatural,2011,"Drama, Fantasy, Horror",Frontierland,6,18,tt1627714,Authenticity! | Wow. Talk about authenticity.
authenticity,797,The Crazy Ones,2013,Comedy,Pilot,1,1,tt2925846,"Authenticity... | Hey, you know the authenticity pitch. | If you had just pitched them the authenticity campaign..."
authenticity,797,Holiday Crashers,2024,"TV Movie, Comedy, Romance",,,,tt32011999,Authenticity.
authenticity,797,Girl Meets World,2015,"Comedy, Drama, Family, Music",Girl Meets Master Plan,1,18,tt3486762,"""Authenticity!"" | -Authenticity? | of authenticity, | No, I said that authenticity | - You said that authenticity - was a very big deal to you?"
authenticity,797,Flesh and Bone,2015,Drama,Boogie Dark,1,4,tt3538948,authenticity.
skim,552,Everybody Loves Raymond,1998,Comedy,No Fat,3,10,tt0574198,Skim!
skim,552,Northern Exposure,1993,"Comedy, Drama",The Big Feast,4,21,tt0662400,Skim!
skim,552,My Name Is Earl,2009,Comedy,Got the Babysitter Pregnant,4,14,tt1248715,Skim? | Skim milk?
skim,552,Cougar Town,2012,"Comedy, Romance",My Life/Your World: Part 1,3,14,tt2372801,Skim.
skim,552,Power,2018,"Crime, Drama",The Devil Inside,5,7,tt6020504,"Skim? | Oh, yeah? You gonna skim even more?"
skim,552,Nurse Betty,2000,"Comedy, Crime, Drama",,,,tt0171580,"SKIM, RIGHT ?"
skim,552,Through the Fire,1988,"Horror, Action",,,,tt0406799,"- Skim, Pete."
skim,552,Get Smart,1966,"Action, Adventure, Comedy",Ship of Spies: Part 1,1,27,tt0587557,OR SKIM? | ONLY DRINK SKIM.
skim,552,Roseanne,1991,"Comedy, Drama",Her Boyfriend's Back,3,20,tt0688800,SKIM MILK.
skim,552,Grown Ups,2010,Comedy,,,,tt1375670,Skim it
skim,552,Pink Lemonade,2022,"Comedy, Family, Romance",,,,tt23469776,"SKIM MILK,"
ascertain,651,Mindhunter,2017,"Crime, Drama, Thriller",Episode #1.1,1,1,tt5534132,"Ascertain demands,"
ascertain,651,Nasreddin Hodja and Tamerlane,1954,Comedy,,,,tt0330684,Ascertain post-haste!
ascertain,651,Chicago Med,2019,Drama,In the Valley of the Shadows,5,3,tt11006868,ascertain Mr. Shepard's
ascertain,651,NCIS: New Orleans,2019,"Action & Adventure, Drama, Comedy",Spies and Lies,6,5,tt11062476,to ascertain that
ascertain,651,The Outreau Case: A French Nightmare,2024,"Documentary, Crime",Justice,1,4,tt31778536,hard to ascertain.
ascertain,651,Evil,2024,"Crime, Drama, Mystery",Fear of the Other,4,12,tt31920808,to ascertain competency.
ascertain,651,The Good Fight,2017,Drama,First Week,1,2,tt6196908,"is: ""Ascertain Guilt""."
ascertain,651,Dodsworth,1936,"Drama, Romance",,,,tt0027532,"""Using utmost discretion, ascertain"
ascertain,651,The Day Reagan Was Shot,2001,"Biography, Drama, History",,,,tt0271454,and ascertain the facts.
ascertain,651,The Perfume of the Lady in Black,2005,Comedy,,,,tt0385933,To ascertain which one
ascertain,651,Keeping Up Appearances,1991,Comedy,The Three Piece Suite,2,9,tt0619167,   I'M RINGING   TO ASCERTAIN
formidable,1496,Another Summer Holiday,2024,"Comedy, Drama",,,,tt18764900,Formidable... formidable...
formidable,1496,The Benny Goodman Story,1956,"Biography, Drama, Music",,,,tt0047873,"Formidable Benny. Formidable. | Formidable I'm Joe Goldcrown, director. Proud to have you here."
formidable,1496,Tandem,1987,"Comedy, Drama",,,,tt0094105,There! Formidable! You're formidable!
formidable,1496,The Mask of Dimitrios,1944,"Crime, Drama, Film-Noir",,,,tt0037055,Formidable.
formidable,1496,Silk Stockings,1957,"Comedy, Musical, Romance",,,,tt0050972,Formidable!
formidable,1496,Nayak,1966,Drama,,,,tt0060742,"Formidable! | My, my! I see you're quite a formidable young lady."
formidable,1496,I'm Losing My Temper,1975,Comedy,,,,tt0071863,Formidable.
formidable,1496,The Evening Star,1996,"Comedy, Drama, Romance",,,,tt0116240,Formidable.
formidable,1496,The King Is Alive,2000,Drama,,,,tt0208911,formidable.
formidable,1496,Miss Lettie and Me,2002,"TV Movie, Drama",,,,tt0328137,"Formidable! | Well, then you've done a formidable job."
