word,total_hits,title,year,genre,episode_title,season,episode,imdb_id,quote
for,135088,Naughty Marietta,1935,"Drama, Musical, Romance",,,,tt0026768,"# For # # For # | # For # | # For # | # I've waited for # # I've waited for # | # That rules for # # That rules for # | # That rules for # # That rules for # | # For you # | # For everyone # | # For I'm # | # For it is love # # For it is love # | # For it is love # # For it is love # | # Sing for me ## | # I've waited for # | # That rules for # | # I've waited for # | # That rules for # | Way for the princess. | Anybody down for good? | not for my life. | # For it is love # | # For it is love # | Oh, for the sea voyage. | # For I know it's always # | waiting for this great day | 'the helpmates for your work' | Well, I'm waiting for you. | 'Make way for the governor.' | camp for several days yet. | # For I'm falling in love # | That's what we've been waiting for. | There you will find for yourselves | 'the solace for your lonely hours' | - Here you are. - And for what? | Thank you for the trouble, monsieur | For the last time, get out. | Better save it for your horse. | You stay here, work for Rudolpho | For example, even this noble shrimp | for the apprehension of Marietta Franini | All that for little Marietta Franini | If you've no regard for yourself | # Ah we are happy singing for you # | # A little song of love for you # | # Oh I am happy singing for you # | We shall expect you downstairs for chocolate | We shall expect you downstairs for chocolate | Rise for His Highness, His Majesty presents. | 'As for you, you got more cloth' | Beyond the horizon I've been looking for. | That's what you got for being unfair. | I'll leave that for you to do. | We haven't spoken for over 60 miles | Didn't you have a hanker for informality? | - Yes. - I can't blame you for that. | Your Excellency, I fight only for pay | I never really thanked you for that. | He'd be tried for treason and shot. | Oh, oh, were you looking for me? | Oh. For heaven's sake, why do you... | Marie, we're leaving for the ship immediately. | # Sing sing s-s-sing sing for me # | Excuse me for a minute, please, excuse me. | # The world is young for this is May # | France is not for poor people these days. | If you run out of names for boys | but I'm in town for a rest now. | Ah, I've waited two days for that smile. | - Good for swollen feet too. - Uh, boys, uh... | are herewith ordered to start for Barataria today. | you might have some respect for our name. | Such a quaint little escapade for our princess. | # We fight for the love of a-fighting # | # We fight for the love of a-fighting # | # La la la ha ha ha sing for me # | And you're practically giving them away for three Louis. | I'm not coming down for chocolate in five minutes. | When, when are you supposed to leave for Lahav? | I suppose that accounts for the large red spot | you have room for a girl who doesn't necessarily | Here's a little wedding present for both of you. | Here's the month's pay for you and your men. | Oh, you'd better save those pretty speeches for your sonnet. | How are you? I have a new pupil for you. | Well, just the way your chin reaches for the moon | We fight for our living and love at our leisure. | But to have one around for any length of time | for all those sweet attributes that come to a home | And now, sir, about the plans for the new barracks... | Of course, I don't know about Captain Warrington for instance. | For today the sun shines, now I can finish my sonnet. | I said to give you one and I'll pay for it. | I am impatient for the time when I can come alone. | month after month yearning for the sound of a sweet voice | Well, fortunately for me, I have the choice of my companion. | I mean, in person, to apologize for the way I acted. | Just stay for a moment and have a glass of Madeira. | Yes, but you said a petticoat for any length of time | Uh, June, John, uh, has the escort left for down the river? | Soon as they find I'm gone, they'll be out searching for me. | And I will order a blue warbler for you in the next shipment."
for,135088,The Face Behind the Mask,1941,"Crime, Drama, Film-Noir",,,,tt0033582,"For... for... | Sorry for you? | They're waiting for you. | Oh. For your home? | for the little guy. | Ask for Mrs. Perkins. | They are waiting for me. | and they go for everybody. | Are you looking for employment? | He'll come back for it. | You think one for me? | Johnny, do something for me. | Look for Benson and Watts. | If it wasn't for the cafe, | How much, please, for my room? | Here. Slip him that for extras. | I was apprentice for three years, | to the hospital for four months. | You owe me for three nights. | for the rest of your life. | for the graft to adhere to. | And thanks again for helping me. | you would feel sorry for me! | Just staying here, waiting for it. | Could I trouble you for a match? | Keep it safe and sound for him? | Just waiting for a buddy of mine | The fee for the operation naturally depends | The boss says to watch for him. | to raise any false hopes for you. | not having people feeling sorry for you. | You'll have to find out for yourself! | in circles, looking for a way out. | For my sins, I've earned my punishment. | I want a room, please, for my home. | because it's very bad for the cafe business. | and for two year, I was master watchmaker | But I would work for very little, sir. | For one year, I worked in a factory | She's been waiting for me to come home, | and you'll know where to wait for us. | Look. I have my reasons for getting out, | It's a little late for that idea now. | You got to grab everything you can for yourself | Yes. I string these beads for a department store. | I'm afraid I'm pretty dull company for most people. | Oh, no. But right now, somebody's waiting for me. | Go back and buy that farm for your mother. | I give all the pengos for dollars on the boat. | Look. You just walk down that street for five blocks. | I don't know. I guess maybe that's not for me. | I could make you a good mask for about $400. | I forget sometimes that people only feel sorry for me. | Would you care for a cup of coffee, Mr. Jeffires? | That was when I was in the army for two years. | What do you want to do a thing like that for? | you got to go for the free rides in this world. | Sometimes, I go for days without saying a word to anyone. | Tell me, doctor, and soon I can go and look for work? | You know, this is a pretty good break for both of us. | On, if... if I only would have the money for a doctor. | I'll get him for this if it's the last thing I do. | No, no. I'll make a good enough living for both of us,"
for,135088,Heaven's Gate,1981,"Adventure, Drama, Western",,,,tt0080855,"for - for... | for it. | For America! | - For sure, Nate. - Sure. | I'm going for help. | and come see for yourself! | without coming up for air... | I do care for you. | It'll be good for discipline. | I'll be back for it presently. | Late for local business, isn't it? | What the hell was that for? | to pay for all of us... | Wait for me at your place. | but told him that, for three days... | Three cheers for our dear old country! | The jury evidently took it for granted... | for every name on that death list... | Is that what the present was for? | I paid $50 on credit for it. | Go on! Speak! We wait for you! | I'm grateful to you, Jim, for everything. | Try to believe my feeling for you. | And my debt to you for the... | Where did you get idea for this? | or you can get shot for insurrection. | I brought an immigrant woman in for hanging. | Harness up the Studebaker for me, will you? | Why don't you come in for a while? | There is enough whiskey for all of you. | they have for you a mandate of imperative duty. | Maybe I'm overdue for a new life myself, Cully. | Do they know what's waiting for them out here? | and $50 for every cattle thief shot or hung. | one half of my drunkenness can be accounted for... | I have enough money for both of us now. | Well, why don't - why don't you stay for supper? | Show me one for the man outside right now. | - ♪ Never fear then for Seventy♪ - My God, Billy. | Well, I - I'll put your grip in there for you. | He paid, uh, $150 for it. We own it now. | and $50 for every thief and anarchist shot or hung. | You look like one of us. You work for them? | says she takes stolen cattle in payment for carnal pleasures. | The president himself asked for these men to go, Billy. | Yeah, all except for the idiots who want to fight. | - What can I do for you? - Winchester '66. Brandy - B&B. | Fifty dollars for every citizen on the list shot or hung. | I'll take you for a ride tomorrow if you want to. | We shall ask for no change in the north or south pole. | If the rich could hire others to do their dying for them... | Those poor sons of bitches sit around weeks waiting for claims verifications. | Dudley, I do believe I am finally workin' for a rich firm. | Maybe you'll understand better the kind of people you're working for now. | You better have a guaranteed warrant for every name on that list. | to find an exordium for a subject on which he had to write. | What do you want to go and do a thing like that for? | I know that it is popular at present to hamper justice for us. | I'd awfully appreciate it if you'd stop taking steers for pay from these people. | You haven't been here for a long time. I've fixed the place up inside. | - Have you ever felt ready to die? - ♪ Give a cheer then for Seventy♪ | It took me a whole day to make it for you, so you eat all of it."
for,135088,Where Is the Friend's House?,1990,"Drama, Family",,,,tt0093342,"- for... - for... | - Two doors for Nader Gholami. - For Nader Gholami. | for your homework? | for iron doors. | That is for sure. | Alright, for your grandson. | I did it for you. | - Who are you looking for? - Hemmat�. | If it weren't for Mr. Jamali... | to prepare the bottle for the baby. | What did you go to Poshteh for? | We fixed the contract for 3,000 tomans. | What good are they for a museum? | I have been looking for him everywhere. | Institute for the intellectual development of children and... | I can't even be away for five minutes. | - Who are you looking for? - Mohammad Reza Nematzadeh. | - Who are you looking for, kid? - Mohammad Reza Nematzadeh. | For such things, my friend, we must be educated | - Go, look for the doors. - Are these yours? These? | After I die, what do I need them for? | Why didn't you look for them? I asked you! | There are very important reasons for writing in a book. | Those old doors they will be a memory for you. | Look for the blacksmith's factory. It's very close to here. | I want the kid to be educated for in his tomorrow | - Did you look for them or did your mother? - My mother. | - Then buy them for your son. - He is not my son. | - You go look for them. - I have to go to the bakery."
for,135088,Une époque formidable,1991,Comedy,,,,tt0103168,"- For. - For? | They ask me for pills for mosquitoes. | A bastard for monsieur. | A customer, for Rita. | Nice for your mother. | Doc, wait for me! | - Don't you have any socks? - For me, too. Chunky ones, for cushioning. | You can't plan for everything. | - No, against. - For or against. | I'm waiting for my train. | A cubicle for a bed? | - Security. - Ha! For what? Jobs? | Can't you decide for yourself? | Because you're dying for it. | Maybe that's for the best. | Lucky only for the scoundrel. | Take the helm for two minutes. | This is all for you, señorita. | And credits, what are they for? | instead of heading west for iodine. | - What's that for? - Can't you tell? | I'm tired of deciding for you. | What can I do for you? | - She's not alone. - Go for it! | - Vincent. - A pair of rollerblades for Vincent. | For ten years, I've suffered your moods. | You're an idiot for not saying anything. | For 2 F, what do you get? | The car, Isn't that enough for you? | No, I think he's done for, doc. | Thanks for the coffee, and welcome home. | No, never. Thank you for your time. | For the pound. And a parking ticket for 250 francs. You have one month to pay it. | Go get some fresh air for two minutes. | Before we arrest you for murder, my money. | I just have to pee for 2 minutes. | He doesn't like being taken for a ride. | You know what I'm in the mood for? | Listen, come for dinner some night at home. | Mind you, I'm not the one they're waiting for. | - What's this? A courthouse? - Thank you for your time. | Wait, wait, wait, wait. This.., is for eating with. | but what's more, it's you asking me for money. | You can thank me by paying for the juice. | So left-hand platform. - Thank you for your time. | - Do you mind if I get out? - What for? | You get me one more bed for the Empress. | Try to cover your overdraft. Sell your car, for example. | - Please don't throw it away. - Thank you for your time. | Gentlemen, do you have the vehicle for the vehicle, please? | - Go ahead, help yourself, Crayon. - But it's for you, doc. | How much longer are we like this for much longer? | With 10 guys per stall, there's no room for furniture. | There's the man for the job. Let's go. Come on. | - Are we still on for dinner? - Of course we are. | - No, we don't. - Are you for or against the death penalty? | - Malakian? She's still the crazy girl from Roissy for you. - Still? | - What's up? I've only got one left. - Not for much longer. | Go to the car and get me thyroid extract for monsieur. | So thank you for everything. Yes, yes, yes! And good night. | It doesn't make you want to go away for the weekend. | No, it's too late for that. I've forgotten all about it. | - Got time for lunch? - Bad timing. I've got an errand to run. | for you to cowardly run off with monsieur telling elegances about me. | For me, it's not about is not the color of a card. | Did anyone ever tell you that you have to pay for scarcity? | And then this one... - We're fine. We're not here for the tour. | This is it. I've found a pair of pants for Mr. Berthier. | You wouldn't happen to be hiring, because we're looking for a little job. | You're going to give it back! - There's nothing I can do for you, sir. | I've been with you for five years. I've never had a single problem. Ever! | But go on, beat it. For once in your life you'll actually do something. | You have to pay for emotion. If you want tears, don't wear a helmet. | If you run away today, you'll be running for the rest of your life. | I'm not going. She'll throw me out. She hasn't seen me for three months. | I was falling off the boat, and there was nothing you could do for me. | I have the right to know. I've been hearing the same thing for 4 months. | Small furniture factory in Deux-Sèvres. I have an appointment tomorrow morning for the signing. | - What the fuck are you doing here? - Taking a piss. What are you pissing for? | There's nothing here for me. You've always you've always pointed out to me with great delicacy. | Michel and Juliette are away for the moment. Please leave us a message after the beep. | I know. This is your home. This is your home, paid for by your parents with your children. | For the past two years, I've been trying to make him one. This is the first time it's worked."
for,135088,Romance & Cigarettes,2005,"Comedy, Music, Romance",,,,tt0368222,"# For # For | # For me | # For me | # For me | You did it for me. For me! | # For one command | Good for you, Bo. | Mommy didn't cook for you. | # For it's too late now | # Of my hate for you # | # ""I'm not prepared for eternity"" | then go hunt for new snapper. | # They've given me starfish for eyes | -Time for school, baby. -Come on. | # When my Saviour reached down for me | # That girl was no good for me | I am! You were meant for me. | # Man made the boat for the water | Come on. Come on. Time for school! | # When He reached out his hand for me | # When He reached down his hand for me | # When He reached down his hand for me | you may be a candidate for adult circumcision. | # For one who's master of my fate now | Second-hand love doesn't work for me, bitch. | # For lips that I used to call mine | -I might need some for... -No, but you don't. | All right, I'm hungry, let's eat. What's for dinner? | -...and apple sauce. -I paid for those pork chops! | ""I'll do for you anything you want me to."" | Somebody cuts my dick it better be for vengeance. | # And left with just a memory for a token | I'm in the market for some underwear. The, uh | Stamp out that Benson & Hedges bitch once and for all. | Someone to take me down the pub for a pint. | Better, sir. Much better. Thanks for your words of wisdom. | Dear Father, forgive me for I have sinned. It's been... | What a woman thinks she's doing doesn't count for anything, Grace. | # If you're looking for trouble You came to the right place | # If you're looking for trouble Just look right in my face | He wants to come to your sister's house for the holidays. | You don't want a fat bird for a girlfriend, do you? | who was born without a brain and a pea for a heart. | I'll be there for you. I'll take care of you. But l... | going to the fucking opera taking one up the bum for the Queen | whenever they want just in broad daylight for the whole world to see? | ""that I may revenge myself upon the Philistines for one of my two eyes."" | Did he do his Richard Gere for you? Jumping all around in his jockstrap? | Oh, yeah! I can't believe... I can't believe you cut it off for me! | Take myself, for instance. I see a young girl get up on a school bus | You said you were gonna leave some for me. That was a four-pound tub! | I lose interest in a man as soon as he begins to care for me. | You're way too old for me but I figure you only go round once in life."
for,135088,The Princess Diaries 2: Royal Engagement,2004,"Comedy, Drama, Family, Romance",,,,tt0368933,"For, for... | Not for everyone. | Thank you for seeing me today. Something for your table. | This is for your table. | No more straggling for me. | It's time for mattress surfing! | you cater for the crown's emotions. | They're wonderful. Thank you for remembering. | Oh, but you care for her. | That's enough flaming ones for now. | A wedding look for the bride. | To Genovia! For your father! Nicholas! | Now for the best surprise of all. | Here is a melon for your table. | Mia doesn't care for me that way. | - So go. - It's a recipe for disaster. | Prepare for the arrival of Princess Mia. | I would gladly take a bullet for you. | The renovations for your suite are finally finished. | It's symbolic for lighting my own eternal flame. | And now, I have a present for you. | Would you take Maurice out for me, please? | [LILLY] I'll cover for you. Go, Rapunzel, go. | We have come together for a different wedding... | Do you have a chicken for my table? | The eagle is flying for the last time. | [WOMAN] Thank your mom for all the cookies, OK? | Should have been ready for you when you arrived, | ...I felt it could be lucky for us, maybe. | Clarisse, my dear. Forget the wedding for a moment. | I am. He's... We are perfect for each other. | she demonstrates a contempt for the customs of Genovia. | [STAMMERING] I will personally get some ice for that foot, | Wait, Mia. A princess should not run for a scarf. | is sort of a perk for parliament members and dignitaries. | until money can be raised for one of their own. | - She needs to get ready for the party. - She's busy. | - Can I talk to you for a second? - Uh-huh. | I just want to talk to Nicholas for a second. | Everything on four wheels is already rented for the wedding. | Who's next in line for the throne? The Von Trokens? | and busy workers are setting up for Genovia's grand day. | I mean, this is the 21 st century, for heaven's sake. | That is the law of Genovia for the last 300 years. | [ANDREW] Every marriage in my family for the past 200 years | Ladies and gentlemen, a special treat for our friends from Asia. | [WOMAN ON RADIO] Our selections for dancing at the royal reception. | Well, the heart does things for reasons that reason cannot understand. | Somewhere in the palace, Princess Mia's getting ready for the ceremony | And our two lovers have perfect weather for their first public outing. | She and my great-grandfather were married for 57 years, so I... | Do you think I plan for this kind of stuff to happen? | Most of them are orphans. We care for as many as possible. | Mia, do something impulsive for once in your life. You're getting married. | ...saving me from doing the proper thing for once in my life. | Oh, I hope not. But thank you so much for all your help. | And thank you so much for inviting me to stay at the palace. | [CLARISSE] I had a selection of the crown jewels brought out for you. | Prince William. He's not eligible, because he's in line for his own crown. | - And I have something for you. - You don't have to get me anything. | Mia, I would remind you that we only danced for about a minute. | Yes, my dear. I would kneel if it weren't for my knee replacement. | Here we are in Pyrus, capital of Genovia, for the big annual parade. | You know, just tell them I'll be up for brunch in a second. | It's out of the frying pan and into the fire for Princess Mia. | I know Lionel is the prime minister's nephew and he's interning for the summer | Try to get some sleep. You'll want to look fresh for the parade tomorrow. | And they asked you to approve a place setting for the reception, Your Majesty. | Nicholas, I cannot have you giving all, all this up just for a girl. | [MIA] So I want thank you all very much for my fabulous bridal shower presents. | My grandmother has ruled without a man at her side for quite some time, and..."
for,135088,The Avengers,1969,"Action, Comedy, Crime",Thingumajig,7,27,tt0516947,"for... for... | for... | For science, you know. | underground for the moment. | for killing the fish. | Somebody asking for me? | No. Steed's searching for him. | It's should be preserved for... | It's been abandoned for years. | D-Don't look for it. | Except for a lack of water. | Its appetite for electricity is insatiable. | waiting for you to recover them. | Our contract called for total secrecy! | Bait for my hungry little killer! | Well, take a city, London, for instance. | Then for your own sake, don't fail. | I'm sorry. For alarming you as I did. | Would you care for a pinch, Miss King? | I can arrange that. What are we looking for? | Uh, well, we don't know the reason for them. | I know I speak for Inge, and we're against it. | I doubt if anybody's been up here for months, years. | For two weeks I am sitting in this mobile refrigerator | You don't win medals waiting for the other chap to be heroic."
a,135624,Pippi Longstocking,1969,"Adventure, Family",,,,tt0366905,"A a a a a a a a a a a a a a a ah. | A small girl with a monkey riding on a horse? | and a blue... or a gorilla. | A fine... | A monkey! | A spunk? | A mouse! | ♪ a monkey and a horse ♪ | ♪ ri-a-ra ri-a-ra ♪ | I have a place in a children's home. | a-thousand and one, a-thousand and two, | a-thousand and three, a-thousand and four, | What a break. | What a disaster! | A seafarer, yes, | Oh, a mouse. | Pippi, have you got a mama and a papa? | Before he became a king, he was a pirate, | I have a nice place for you. A children's home. | It could be a snake, and a short little mousie, | Papa, you are a king on a south sea island?? | Miss priss, I got a papa who's a fine man, | and that's a pity, | What a nice start. | Thanks a lot. - Yeah. | A flower, from Japan. | Ninety-nine, a thousand, | and he's a captain. | A creamy cannibal king! | A suitcase of gold! | She's a kind of a play-lady for the small kids. | I think she's a gossip and a pain in the neck. | Well, you see, a clock is a gimmick that can say, | I made up a story about a chicken that knitted sweaters, | It's quite a cozy place. | Pippi, you're such a nut. | A terrible creature, you know, | Thanks a lot. Bye, then. | Have a little, won't you? | I'm looking for a spunk. | A horse on the veranda. | A couple of nights ago, | - Have a good trip. - Goodbye! | ♪ she's quite a girl ♪ | A girl lives in Villa Villekulla? | A girl can't be that strong! | Are you positive there's a guardhouse? | Haven't you a name, my friend? | My papa is a cannibal king, | I have a home. - I mu... | Don't be such a horrible dummy. | A great toy store over there. | Don't think a tree has lemonade. | through a peephole in the clouds. | when there's such a strong guy, | - Look there! - Only a stupid mask. | Oh, that's really a terrible shame. | but it's such a lovely word. | A wild stork with sharp claws! | And what is such a spunk? | Oh, yeah, a spunk is dangerous. | Thanks a lot! - Oh, you're welcome. | Here, have a couple'a gold coins, | That's how you grab a bag! | or we'll probably get a spanking. | a-thousand and... oh, we're rich. | See, there's a man down there. | - Oh, what a shame. - And, luckily, | Papa Efraim, you've grown a lot! | If I can lift a horse, | I've written a poem for you, | It just makes everything a mess! | ♪ a girl came riding ♪ | Look, there's a horse on the porch! | Oh, look, what a cute, little monkey. | I've got a wild, wild room there. | - No, but wait a minute. - What-what? | Oh, you must be a fine lady. | Could we start nibbling a little now? | look out! You'll be a foot high. | I'll behave just like a fine lady. | Yeah, yeah, oh, what a clock is, | I don't own a clock, you know, | and it don't bother them a bit. | Yeah, that would be a nice bit. | Not even a professor could invent it. | and take a trip on the float. | Do you think we'll find a spunk? | Now, let's take a look in here, | - Ah-ah-ah. - A nice long ""aah."" | Pippi can fly just like a bird. | and a small one with ham, okay? | No, we'll find a real neat place. | Are you scared of a stupid doll? | They look a little upset, don't they? | Help me. - Think it's such a shame | Hey, Pippi Longstocking! She got a friend. | And we'll all have a great... ooh! | There's a boat on top of it! | ♪ a suitcase full of golden coins ♪"
a,135624,Inspector Morse,1991,"Crime, Drama, Mystery",Fat Chance,5,2,tt0611640,"? A-a-a-a-a-a-a-a-a-a... | ? A-a-a-a-a-amen | ? A-a-a-amen | a bicycle. | A dossier. | lt assumes a connection with a crime, | What is it, a cassock? And a cigar. | A broken wrist. | a thriving magazine | A starred first, possibly. | A divinity examination, sir? | That's a funny place | A cache of papers, | Still a total blank? | and performing a murder. | With a rare vocation. | ..a gradual recognition of... | Blimey! What a difference! | lt was a secret. | There's a good girl. | Use a private investigator, | Save her standing around waiting for a bus or a taxi. | but Beaufort say they know nothing about a scout or a suitcase. | Have you never heard of a priest's duty to respect a confidence? | when, acting on a hunch, he disturbed a hornet's nest of clerics. | There's a call-out, sir. | A bit hoIier-than-thou. | There's a system of chaperones. | l slept like a log. | We started keeping a record. | ls there a Mr Pickford? | Not a couple of vicars. | Just a minute! Excuse me! | A broken window, that's all. | and then bIew a fuse. | lf this were a poisoning... | She's a poor soul, Morse. | There was a porter there. | about a bunch of flowers? | Well, you're a stylish woman. | a new image of herself- | She was creating a disturbance. | Mrs Gardam is a fusspot. | There's a fact here, sir. | There's a legal matter involved. | lt was a metabolic stimulant. | within a specified time afterwards, and at a place authorised by the examiners. | l stake my oath that Geoffrey is neither a murderer nor a thief. | is as a sin of witchcraft! | Do you have a light, Lewis? | Very young for a college Fellow. | She wanted to be a priest? | - lf it was a killing. - Yes. | l said, it was a formality. | Er, we have a...mutual acquaintance. | The painkillers were a standard type? | a connection you haven't made yet. | Anyway, ''win'' is a bit premature. | l'd like a word with you. | We'll have a good talk tomorrow. | Emma's got a date tonight, too. | is capable of arranging a burglary | Marriage to a young professor. Children. | and a few other dirty tricks. | (Galt drowns conversation) ..at a time | If that girI is a thief | Said he'd noticed it'd been parked up for a week in a corner. Never been moved. | You like her a bit plump. Yes. | She was a trained historian like me. | WOMAN: This the chance of a lifetime. | versus God as a muscular Girl Guide. | lt was a formality in Victoria's case. | and more Iike a gesture of defiance. | A summer school for the next month. | l mean, it's a matter of interpretation. | They could have made themselves a cuppa | - Please. - Not a moment's space till Thursday. | ..well, hiring someone to do a burglary? | There was a big surprise in store | lt won't take a moment. Just listen. | Just talk to me for a minute. | lf someone wanted to hide a bike, | Yes. lt sounds like a nice idea. | They brought in a second expert witness. | Just remember there's a perfectly reasonable explanation. | l thought he rated a thank you. | well, fill out a bit, like me... | l answer to a much higher authority | - A message for you, sir. - Go ahead. | And we've got a jogging squad together. | The porter says there was a scout sent over from Beaufort College with a suitcase to deliver. | A candidate who sits a paper late must, on no account, get to see the paper beforehand. | She says she's going to a class regular. | She fell off her bike a week ago. | A couple of them also hold university appointments. | They're supposed to do a good job, though. | Who were the chaperones? ls there a list? | There's a lot of hate in this one. | - And Dinah's done a bunk again. - Dinah? When? | A perfect thumbprint, though, on the examination paper."
