platform,comment_id,username,content,like_count,reply_count,create_time,ip_location,source_title,source_url,source_author,relevance,relevance_score,info_type,key_info
douyin,7608456367624651546,另一篇,我买的26号的竟然下雨 到底要不要去啊,0,4,2026-02-19 14:16:36,山东,日出 云海 雾凇，我人生中的世纪几帧#黄山 #云海,https://www.douyin.com/video/7601865668791209317,Pray,unknown,0,未知,
douyin,7582873781845279551,夜风,“从山脚到顶峰，每一步都是心灵的洗礼，每一处风景都令人叹为观止。”,1,5,2025-12-12 15:43:05,广西,最美的云海日出来啦#泰山 #泰山日出 #旅行推荐官 #旅行 #旅游,https://www.douyin.com/video/7565401016238574890,天路（泰山日出）,unknown,0,未知,
douyin,7604518926751712059,毕加索的狮子,请问这是哪个位置,1,0,2026-02-08 23:37:18,河南,最美的云海日出来啦#泰山 #泰山日出 #旅行推荐官 #旅行 #旅游,https://www.douyin.com/video/7565401016238574890,天路（泰山日出）,unknown,0,未知,
douyin,7578297302457402154,幸运儿,[赞][赞][赞][赞][赞][赞][赞],1,0,2025-11-30 07:44:01,云南,最美的云海日出来啦#泰山 #泰山日出 #旅行推荐官 #旅行 #旅游,https://www.douyin.com/video/7565401016238574890,天路（泰山日出）,unknown,0,未知,
douyin,7589503251525092154,宁静致远,此景只应天上有…,1,41,2025-12-30 12:28:49,湖南,最美的云海日出来啦#泰山 #泰山日出 #旅行推荐官 #旅行 #旅游,https://www.douyin.com/video/7565401016238574890,天路（泰山日出）,unknown,0,未知,
douyin,7582873858882552619,夜风,“十八盘如天梯直插云霄，石阶古道映历史，一步一景皆成画。”,1,1,2025-12-12 15:43:23,广西,最美的云海日出来啦#泰山 #泰山日出 #旅行推荐官 #旅行 #旅游,https://www.douyin.com/video/7565401016238574890,天路（泰山日出）,unknown,0,未知,
douyin,7602829555681919787,一把青,这机位很像云边有个小卖部的封面，谁懂？,16,0,2026-02-04 10:21:42,山东,为了这个镜头 特意来了一趟徐家沟#日出云海  #徐家沟云海 #＃山顶见,https://www.douyin.com/video/7602548054511680881,咔嚓📷,unknown,0,未知,
douyin,7605999546989560634,东北,我们这大牛沟一年180多天都是云海[呲牙],6,1,2026-02-12 23:22:53,辽宁,为了这个镜头 特意来了一趟徐家沟#日出云海  #徐家沟云海 #＃山顶见,https://www.douyin.com/video/7602548054511680881,咔嚓📷,unknown,0,未知,
douyin,7602878631887143695,好运年年,哪里的徐家沟啊,156,11,2026-02-04 13:32:08,江苏,为了这个镜头 特意来了一趟徐家沟#日出云海  #徐家沟云海 #＃山顶见,https://www.douyin.com/video/7602548054511680881,咔嚓📷,unknown,0,未知,
douyin,7602869736024834857,用户6010904403549,这种云海  在云南 红河州    8 9  10  11  12月份  每天都有,66,6,2026-02-04 12:57:39,云南,为了这个镜头 特意来了一趟徐家沟#日出云海  #徐家沟云海 #＃山顶见,https://www.douyin.com/video/7602548054511680881,咔嚓📷,unknown,0,未知,
douyin,7602560310654239547,青春时光机,我想带对门老王去一次[尬笑],6,2,2026-02-03 16:56:53,陕西,为了这个镜头 特意来了一趟徐家沟#日出云海  #徐家沟云海 #＃山顶见,https://www.douyin.com/video/7602548054511680881,咔嚓📷,unknown,0,未知,
